corp_code,corp_name,Audit Committee,Audit Committee ODs,Inside Directors,Outside Directors,Other Non-Exec Directors,Auditors,Female Voting,Male Voting,Voting Directors,Non Registered,Total Assets (2024),Total Assets (2023),Total Assets (2022),rcept_no
100939,강남제비스코,3,3,4,3,0,0,0,7,7,18,969739160656.0,985686727233.0,957791314832.0,20250318001036
101044,에이프로젠바이오로직스,0,0,3,1,0,1,0,4,4,9,590984471828.0,589396664797.0,684140416698.0,20250314001189
101220,KG케미칼,0,0,3,1,0,1,0,4,4,8,8160948249649.0,7818802674413.0,7076647392734.0,20250320001653
101433,경농,0,0,3,1,0,1,1,3,4,11,489019203715.0,448592733973.0,448632689252.0,20250317000859
101488,경동나비엔,0,0,5,3,0,1,0,8,8,30,1358870104798.0,1060557971487.0,1018019428372.0,20250318000908
101628,경방,0,0,3,1,0,1,1,3,4,7,1214347475924.0,1206860950940.0,1248318313535.0,20250320001362
101664,경보제약,0,0,3,1,0,1,1,3,4,8,283886655960.0,266305016913.0,240544942124.0,20250318001404
102113,경인양행,0,0,6,2,0,2,0,8,8,16,544969281413.0,538955972428.0,548252999063.0,20250320000738
102140,경인전자,0,0,2,1,0,1,0,3,3,3,80869826412.0,75127255780.0,68385030301.0,20250312000686
102432,계룡건설산업,3,3,4,3,0,0,0,7,7,41,2941317715233.0,2726892636022.0,2560028661008.0,20250318001013
102618,계양전기,0,0,3,4,0,0,0,7,7,14,192750825652.0,232056132248.0,297554555403.0,20250314001765
102751,고려산업,3,3,4,3,0,0,0,7,7,10,287854045821.0,277915943029.0,274703527826.0,20250312000333
102858,고려아연,4,4,3,14,3,0,3,17,20,45,14792322181548.0,12046071311650.0,12097918358974.0,20250331003521
103006,고려제강,3,3,6,4,0,1,1,9,10,9,2608977847007.0,2451280644242.0,2532768398255.0,20250515002790
103042,케이씨티시,0,0,2,2,2,1,0,6,6,13,762617949986.0,662097622202.0,630078626843.0,20250313001313
103130,플레이그램,0,0,4,2,0,1,0,6,6,2,336750096820.0,273648831677.0,303643329972.0,20250320001095
103176,흥국화재,3,3,3,4,0,3,0,7,7,19,12894689000000.0,12031553000000.0,12403741000000.0,20250320001444
103510,인지컨트롤스,0,0,2,1,0,1,1,2,3,0,685548746564.0,649103362179.0,606910470329.0,20250328001677
103592,광동제약,3,3,3,3,0,0,0,6,6,19,1170275148654.0,1078065491869.0,932023758862.0,20250325000803
103626,한솔피엔에스,3,2,4,2,1,0,0,7,7,1,127298015569.0,124852549093.0,134944512348.0,20250311001303
103662,광명전기,0,0,5,2,1,1,1,7,8,0,142679052793.0,187156634512.0,171758015274.0,20250321001712
104388,국도화학,0,0,5,3,1,1,1,8,9,37,1593312464298.0,1509561242743.0,1499093658603.0,20250321001221
104519,국보,0,0,2,1,0,2,0,3,3,0,75396030106.0,91419723256.0,109959854401.0,20250321001993
104698,LS네트웍스,3,3,3,3,0,0,0,6,6,4,9601505118160.0,1309219122467.0,1300442455061.0,20250325000971
104722,국제약품,0,0,3,3,0,0,0,6,6,7,165547573574.0,163259483207.0,136592862806.0,20250320000537
104768,가온전선,3,3,2,3,1,0,0,6,6,6,1042884426000.0,801805532000.0,752332445000.0,20250320000299
104786,미래아이앤지,0,0,3,1,0,1,0,4,4,0,74867189585.0,84461940667.0,97492843199.0,20250318000665
104856,삼성증권,3,3,2,4,0,0,1,5,6,27,62273916116630.0,56507909508834.0,53848261017182.0,20250306000628
104999,윌비스,3,3,3,3,2,0,0,8,8,0,294579163963.0,302851731273.0,270394721804.0,20250327001289
105101,INVENI,3,3,4,4,0,0,0,8,8,0,1213830244000.0,1358039481000.0,1491393801000.0,20250314000367
105156,극동유화,0,0,4,2,0,2,0,6,6,4,478555021568.0,430015236625.0,353076046774.0,20250320001025
105271,케이씨씨,3,3,3,4,0,0,0,7,7,0,13108550142754.0,13353471078397.0,13118486307658.0,20250313001099
105280,현대지에프홀딩스,3,3,3,3,0,0,0,6,6,9,10084911844000.0,5051682271000.0,3188881449000.0,20250321001489
105299,금강공업,0,0,4,3,0,0,0,7,7,9,1161899245538.0,1130467709471.0,1094801795415.0,20250319000431
105606,금호에이치티,0,0,3,1,0,1,1,3,4,6,433457378286.0,441768263473.0,426633825138.0,20250317000938
105855,엘에스일렉트릭,5,5,5,5,0,0,1,9,10,27,4485197464384.0,3732891934230.0,3322804977898.0,20250317000918
105873,LG디스플레이,4,4,2,4,1,0,2,5,7,86,32859566000000.0,35759298000000.0,35686019000000.0,20250312000906
105952,LS,3,3,3,4,0,0,1,6,7,10,20527939000000.0,18245954000000.0,17257356000000.0,20250326000601
105961,LG이노텍,4,4,2,4,1,0,1,6,7,42,11378212000000.0,11204306000000.0,9793618000000.0,20250318001384
106119,금양,0,0,5,3,0,2,0,8,8,17,1256933888453.0,703467371639.0,278599452437.0,20250321001823
106313,금호건설,3,0,1,0,0,0,0,1,1,25,1552771308059.0,1692362777882.0,1691163707318.0,20250317000545
106368,금호석유화학,3,3,3,7,0,1,2,8,10,37,8340238952259.0,7979694633685.0,7717403072460.0,20250317000810
106395,금호전기,0,0,4,1,1,1,0,6,6,2,33341564828.0,52905126549.0,62193732605.0,20250318000723
106614,기신정기,0,0,3,1,0,2,0,4,4,3,263468768678.0,265146139041.0,265059186517.0,20240613000239
106623,현대위아,3,3,3,4,0,0,1,6,7,0,7075991000000.0,6825905000000.0,7546451000000.0,20250313000158
106641,기아,4,4,3,5,0,0,3,5,8,0,92755874000000.0,80627826000000.0,73710965000000.0,20250313001390
106669,세아베스틸지주,4,4,3,4,0,0,1,6,7,5,3826646864046.0,3665171000621.0,3818404052059.0,20250318000465
106881,인디에프,0,0,2,1,0,1,0,3,3,3,121334436238.0,115588583093.0,119745167372.0,20250320001282
107066,남광토건,0,0,3,1,0,1,0,4,4,13,417033569966.0,377327938424.0,345922884373.0,20250318000968
107224,남선알미늄,0,0,3,1,0,1,0,4,4,4,404717544888.0,432707600573.0,401195143871.0,20250320001238
107598,남양유업,0,0,1,1,2,1,0,4,4,0,724193724088.0,779727608033.0,890458284919.0,20250328000090
107613,이수페타시스,0,0,3,1,0,1,0,4,4,0,790136366426.0,626436318507.0,546014160739.0,20250321001007
107677,비비안,0,0,5,2,0,1,3,4,7,0,257400328225.0,191082593771.0,201061180940.0,20250321001351
107987,남해화학,3,3,5,7,1,0,0,13,13,0,773830396996.0,833548600274.0,902896419890.0,20250320001346
108038,엔피씨,0,0,3,1,0,1,0,4,4,8,577610425954.0,537632854213.0,527275693474.0,20250321001553
108135,녹십자홀딩스,0,0,3,1,0,1,0,4,4,8,3670572248630.0,3737707402310.0,3592060734923.0,20250318001422
108241,농심,4,4,3,4,0,0,1,6,7,28,3597461570702.0,3234751426458.0,3034718535547.0,20250312000711
108612,DS단석,0,0,4,3,0,0,0,7,7,10,735819053361.0,718904136635.0,565587169489.0,20250321001800
108746,DKME,0,0,4,2,1,1,0,7,7,4,213873418416.0,220114642087.0,192687257308.0,20250320001708
108913,대교,0,0,5,3,2,0,1,9,10,15,605264594892.0,604526705400.0,666723788672.0,20250317000864
108940,대성홀딩스,3,3,4,3,0,0,1,6,7,1,1249662505720.0,1245982849279.0,1391346077818.0,20250320000999
108977,대구백화점,0,0,3,3,0,0,2,4,6,0,432188136396.0,467423344729.0,470347262546.0,20250321000349
109161,태경케미컬,0,0,2,1,0,3,0,3,3,4,184309192873.0,182882306558.0,167391898805.0,20250318000825
109189,대덕,0,0,3,1,0,1,0,4,4,2,1817762218175.0,1835312625998.0,1903351069081.0,20250320001383
109286,대동,3,3,3,4,0,0,0,7,7,18,2132627316122.0,1956376110942.0,1713773205581.0,20250318001356
109514,티웨이홀딩스,0,0,3,2,0,1,0,5,5,2,187678000054.0,215388359744.0,210718177191.0,20250321001276
109693,DL,3,3,1,3,1,0,1,4,5,3,12535315407584.0,12119563559885.0,12004032770242.0,20250317000751
109718,사조대림,3,3,4,3,1,0,0,8,8,9,2123550790244.0,1262971666006.0,1168252667285.0,20250312000891
109754,대림바스,0,0,3,1,0,1,0,4,4,11,348281817560.0,347656027998.0,337590812772.0,20250321001769
109806,삼일씨엔에스,3,3,4,3,0,0,0,7,7,5,394071619838.0,354907802821.0,411440527283.0,20250320001188
109824,대림통상,0,0,3,1,0,2,2,2,4,6,162827837044.0,177143797015.0,171792618625.0,20250320001663
110608,DSR,2,2,2,2,0,0,0,4,4,9,363394228331.0,343481015258.0,364710386862.0,20250227006937
110893,대신증권,3,3,4,5,0,1,1,8,9,35,26396108665000.0,22643488792000.0,21210735463000.0,20250313001301
111111,대양금속,0,0,5,2,0,1,1,6,7,5,140278881981.0,151056760486.0,400877091044.0,20250731000398
111421,휴니드테크놀러지스,0,0,3,1,0,1,0,4,4,16,241011444524.0,299334914118.0,304125357471.0,20250310000706
111458,대영포장,0,0,5,3,0,0,1,7,8,7,225080501521.0,221137778791.0,247356883299.0,20250320001314
111689,아진전자부품,0,0,3,1,0,1,0,4,4,4,102542697306.0,94593219371.0,91241229943.0,20250321001016
111704,한화오션,3,3,3,5,1,0,1,8,9,70,17843809161295.0,13944772692394.0,12235665304876.0,20250314001630
111722,미래에셋증권,3,3,6,4,0,1,1,9,10,127,137176998056307.0,128206948648964.0,106952189880235.0,20250515002814
111810,대웅,1,0,2,3,0,1,0,5,5,2,2720693911174.0,2359277174097.0,2158905107252.0,20250401003907
111847,대원강업,0,0,3,5,0,1,0,8,8,16,1302349327000.0,1026303659000.0,1010418826000.0,20250324000486
111999,대원제약,3,3,3,3,0,0,0,6,6,0,583388833683.0,507998342357.0,453550065821.0,20250320001537
112022,대원화성,3,2,2,2,0,0,0,4,4,0,152521491003.0,138374975185.0,130913447074.0,20250320001317
112059,상상인증권,0,0,2,3,0,0,0,5,5,9,1230922556862.0,2173761439448.0,598057726910.0,20250318001083
112165,디아이씨,0,0,3,2,0,1,0,5,5,18,715046567485.0,684084841557.0,648233574145.0,20250321001173
112332,미래에셋생명,3,3,3,4,0,1,1,6,7,30,32493623714996.0,33092023489392.0,35041511155617.0,20250331003228
112378,KR모터스,0,0,2,1,0,1,0,3,3,0,85272527872.0,138570416599.0,149185245583.0,20250319000576
112651,대창,0,0,2,1,0,1,0,3,3,11,838561578459.0,759532652404.0,840153818480.0,20250318001233
112679,대창단조,3,3,3,3,0,0,0,6,6,0,372341113498.0,334751849114.0,338228490208.0,20250320000634
112970,대한방직,0,0,4,2,0,1,0,6,6,0,185398515032.0,180718514592.0,210639557874.0,20250313001407
112998,서울보증보험,3,3,2,6,1,0,2,7,9,9,,,,20250324000440
113058,한화생명,3,3,3,4,0,1,1,6,7,60,160146430758072.0,147901842899949.0,146310480564015.0,20250331003702
113191,코리안리,3,3,2,4,1,1,1,6,7,9,13160392022865.0,12066324170936.0,11017223863261.0,20250331003380
113207,대한전선,3,3,2,3,1,0,0,6,6,42,2642726208000.0,1878565100000.0,1620264871000.0,20250325001056
113225,대한제강,0,0,3,1,0,2,0,4,4,8,1149797079037.0,1115779074661.0,1220496809666.0,20250320000395
113234,대한제당,0,0,3,2,1,0,0,6,6,11,1233543025000.0,1185391612000.0,1219466296000.0,20250313001084
